klasseNr;navn;prisgruppe;bodNr
12708;;FLYTTET;11
12808;;FLYTTET;481
12866;;FLYTTET;79
12938;;FLYTTET;18
12945;;FLYTTET;473
12955;;FLYTTET;114
13012;;FLYTTET;466
13047;;FLYTTET;214
13066;;FLYTTET;250
13075;;FLYTTET;100
13099;;FLYTTET;505
13100;;FLYTTET;248
13104;;FLYTTET;300
13106;;FLYTTET;507
13108;;FLYTTET;103
13120;;FLYTTET;6
13128;;FLYTTET;287
13136;;FLYTTET;8-36
13139;;FLYTTET;204
